   datafolder                          mlmethod n.trees shrinkage interaction.depth inscore   outscore  sd        
81 1to5butterEye8ch1300ms80pca_5fusion gbm      200     1e-03     3                 0.6974617 0.7064627 0.08939567
82 1to5butterEye8ch1300ms80pca_5fusion gbm      200     1e-02     1                 0.6970866 0.7069931 0.09184906
83 1to5butterEye8ch1300ms80pca_5fusion gbm      200     1e-02     2                 0.7016019 0.7062196 0.09093563
84 1to5butterEye8ch1300ms80pca_5fusion gbm      200     1e-02     3                 0.7065682 0.7068210 0.09010426
85 1to5butterEye8ch1300ms80pca_5fusion gbm      200     5e-02     1                 0.7048333 0.7047826 0.08937240
86 1to5butterEye8ch1300ms80pca_5fusion gbm      200     5e-02     2                 0.7186939 0.6965836 0.08552282
87 1to5butterEye8ch1300ms80pca_5fusion gbm      200     5e-02     3                 0.7333155 0.6953749 0.08582085
88 1to5butterEye8ch1300ms80pca_5fusion gbm      200     2e-01     1                 0.7141669 0.6962151 0.08764590
89 1to5butterEye8ch1300ms80pca_5fusion gbm      200     2e-01     2                 0.7518759 0.6794493 0.08351215
90 1to5butterEye8ch1300ms80pca_5fusion gbm      200     2e-01     3                 0.7839028 0.6752775 0.08408205

