   datafolder   mlmethod ntree mtry nodesize inscore   outscore  sd        
98  fft_cz1300ms rrf      1000  70    1       0.50    1.0000000 0.5145946
99  fft_cz1300ms rrf      1000  70    1       0.75    1.0000000 0.5245340
100 fft_cz1300ms rrf      1000  70    5       0.25    0.9733392 0.5059752
101 fft_cz1300ms rrf      1000  70    5       0.50    0.9723631 0.5155099
102 fft_cz1300ms rrf      1000  70    5       0.75    1.0000000 0.5268026
103 fft_cz1300ms rrf      1000  70   10       0.25    0.9249022 0.5222887
104 fft_cz1300ms rrf      1000  70   10       0.50    0.9243391 0.5188097
105 fft_cz1300ms rrf      1000  70   10       0.75    1.0000000 0.5254352
106 fft_cz1300ms rrf      1000  70   20       0.25    0.8684317 0.5083560
107 fft_cz1300ms rrf      1000  70   20       0.50    0.8661268 0.5136754
108 fft_cz1300ms rrf      1000  70   20       0.75    0.9998088 0.5222503

    datafolder   mlmethod ntree mtry nodesize coefReg inscore   outscore  sd         
1   fft_cz1300ms rrf       200  10    1       0.001   1.0000000 0.5071813 0.008363648
2   fft_cz1300ms rrf       200  10    1       0.010   1.0000000 0.5170081 0.009193898
3   fft_cz1300ms rrf       200  10    1       0.050   1.0000000 0.5041581 0.008228668
4   fft_cz1300ms rrf       200  10    1       0.100   1.0000000 0.5060830 0.005958052
5   fft_cz1300ms rrf       200  10    5       0.001   0.9719025 0.5139422 0.010660653
6   fft_cz1300ms rrf       200  10    5       0.010   0.9726020 0.5203806 0.017512128
7   fft_cz1300ms rrf       200  10    5       0.050   0.9769215 0.4965915 0.010106462
8   fft_cz1300ms rrf       200  10    5       0.100   0.9720566 0.5102579 0.008247327
9   fft_cz1300ms rrf       200  10   10       0.001   0.9219788 0.5103723 0.011290903
10  fft_cz1300ms rrf       200  10   10       0.010   0.9222228 0.5024336 0.007428557
11  fft_cz1300ms rrf       200  10   10       0.050   0.9217939 0.5105322 0.016708960
12  fft_cz1300ms rrf       200  10   10       0.100   0.9250968 0.5129062 0.014775539
13  fft_cz1300ms rrf       200  10   20       0.001   0.8686023 0.5097490 0.007742411
14  fft_cz1300ms rrf       200  10   20       0.010   0.8656247 0.5044187 0.012356313
15  fft_cz1300ms rrf       200  10   20       0.050   0.8654881 0.5122160 0.017895238
16  fft_cz1300ms rrf       200  10   20       0.100   0.8653662 0.5124631 0.006696479
17  fft_cz1300ms rrf       200  30    1       0.001   1.0000000 0.5072393 0.006349910
18  fft_cz1300ms rrf       200  30    1       0.010   1.0000000 0.5081599 0.014941912
19  fft_cz1300ms rrf       200  30    1       0.050   1.0000000 0.5035173 0.003519596
20  fft_cz1300ms rrf       200  30    1       0.100   1.0000000 0.5201325 0.003461336
21  fft_cz1300ms rrf       200  30    5       0.001   0.9717992 0.5183717 0.012180675
22  fft_cz1300ms rrf       200  30    5       0.010   0.9715621 0.5186781 0.011537185
23  fft_cz1300ms rrf       200  30    5       0.050   0.9699300 0.5113455 0.013631446
24  fft_cz1300ms rrf       200  30    5       0.100   0.9715568 0.5188894 0.011155975
25  fft_cz1300ms rrf       200  30   10       0.001   0.9231975 0.5156244 0.018176847
